id,name,slug,logoUrl,coverUrl,description,province,city,type,websiteUrl,admissionUrl,ranking,establishedYear,phone,email,isFeatured,isActive,createdAt,updatedAt,isHecRecognized
clx00ab792b28778de81ada,"Government College Women University, Sialkot",government-college-women-university-sialkot,,,,Punjab,Sialkot,PUBLIC,https://gcwus.edu.pk,NULL,,,,,FALSE,TRUE,07:25.9,07:25.9,TRUE
clx010a1a91e5ae0df5e943,University of Management Sciences and Information Technology (Kotli AJK),university-of-management-sciences-and-information-technology-kotli-ajk,,,,Azad Kashmir,Kotli,PUBLIC,https://umsit.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx016c3f220b4add2fb50d,Sardar Bahadur Khan Women's University,sardar-bahadur-khan-womens-university,,,,Balochistan,Quetta,PUBLIC,https://sbkwu.edu.pk,NULL,,,,,FALSE,TRUE,06:55.0,06:55.0,TRUE
clx01c43dcd534d984e5b9a,University of Makran,university-of-makran,,,,Balochistan,Panjgur,PUBLIC,NULL,NULL,,,,,FALSE,TRUE,06:56.0,06:56.0,TRUE
clx02117ccc67a3862ffd6e,"Iqra National University (INU), Swat",iqra-national-university-inu-swat,,,,Khyber Pakhtunkhwa,Swat,PRIVATE,https://inu.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx02aecca06c4b5b36ff08,"Quaid-e-Awam University of Engineering, Science, and Technology, Nawabshah/Benazirabad",quaid-e-awam-university-of-engineering-science-and-technology-nawabshahbenazirabad,,,,Sindh,Nawabshah,PUBLIC,https://quest.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx032bb01da35178979cc8,"Lasbela University of Agriculture, Water and Marine Sciences, Wadh Campus",lasbela-university-of-agriculture-water-and-marine-sciences-wadh-campus,,,,Balochistan,Wadh,PUBLIC,https://luawms.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx03567588fcb115f41821,"University of Agriculture Faisalabad (UAF), Toba Tek Singh",university-of-agriculture-faisalabad-uaf-toba-tek-singh,,,,Punjab,Toba Tek Singh,PUBLIC,https://uaf.edu.pk,https://admissions.uaf.edu.pk,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0387dee590f26f779f3c,"Sarhad University of Science and Information Technology, UAE Campus",sarhad-university-of-science-and-information-technology-uae-campus,,,,International (Overseas Campus),Ras-Al-Khaimah,PRIVATE,https://suit.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0404d66c744a5d73e092,"University of Punjab Lahore, Allama Iqbal Campus",university-of-punjab-lahore-allama-iqbal-campus,,,,Punjab,Lahore,PUBLIC,https://pu.edu.pk,https://admissions.pu.edu.pk,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0410200b15a724ccd65e,"Quaid-e-Awam University of Engineering, Science and Technology",quaid-e-awam-university-of-engineering-science-and-technology,,,,Sindh,Karachi,PUBLIC,https://quest.edu.pk,https://quest.edu.pk/admission,,,,,FALSE,TRUE,07:47.8,07:47.8,TRUE
clx04526706eda57a378ea0,City University of Health Sciences,city-university-of-health-sciences,,,,Sindh,Karachi,PUBLIC,https://cush.edu.pk,NULL,,,,,FALSE,TRUE,07:44.9,07:44.9,TRUE
clx04ea5375643a86bfc835,"University of Gujrat (UOG), Lahore Campus",university-of-gujrat-uog-lahore-campus,,,,Punjab,Lahore,PUBLIC,https://uog.edu.pk,https://admissions.uog.edu.pk,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx053919c78ba3639458ed,"National University of Modern Languages (NUML), Lahore Campus",national-university-of-modern-languages-numl-lahore-campus,,,,Punjab,Lahore,PUBLIC,https://numl.edu.pk,https://admissions.numl.edu.pk,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx05b93cf16196aef9ab76,National University of Computer and Emerging Sciences,national-university-of-computer-and-emerging-sciences,,,,Islamabad,Islamabad,PRIVATE,https://www.nu.edu.pk,https://ugadmissions.nu.edu.pk,,,,,FALSE,TRUE,06:49.2,06:49.2,TRUE
clx05c2a2720996c027f676,"National University Of Medical Sciences (NUMS), Rawalpindi",national-university-of-medical-sciences-nums-rawalpindi,,,,Punjab,Rawalpindi,PUBLIC,https://numspak.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx05c6c96495a2ab2a8530,Hamdard University,hamdard-university,,,,Sindh,Karachi,PRIVATE,https://hamdard.edu.pk,https://hamdard.edu.pk/admission,,,,,FALSE,TRUE,07:36.6,07:36.6,TRUE
clx05cae015bc775d593443,"Sindh Institute of Physical Medicine and Rehabilitation, Karachi",sindh-institute-of-physical-medicine-and-rehabilitation-karachi,,,,Sindh,Karachi,PUBLIC,https://sipmr.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx05e12bf445de961b67d6,Newports Institute of Communications and Economics,newports-institute-of-communications-and-economics,,,,Sindh,Karachi,PRIVATE,https://newports.edu.pk,NULL,,,,,FALSE,TRUE,07:43.1,07:43.1,TRUE
clx06f3b056e70a9998ad3c,Muhammad Nawaz Sharif University of Engineering and Technology,muhammad-nawaz-sharif-university-of-engineering-and-technology,,,,Punjab,Lahore,PUBLIC,https://mnsuet.edu.pk,NULL,,,,,FALSE,TRUE,07:28.1,07:28.1,TRUE
clx074b6ba35972da31a543,"Air University, Multan Campus",air-university-multan-campus,,,,Punjab,Multan,PRIVATE,https://au.edu.pk,https://admissions.au.edu.pk,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx07a4c5e1435d7acefb44,Pir Abdul Qadir Shah Jeelani Institute of Medical Sciences,pir-abdul-qadir-shah-jeelani-institute-of-medical-sciences,,,,Sindh,Karachi,PUBLIC,NULL,NULL,,,,,FALSE,TRUE,07:50.7,07:50.7,TRUE
clx0810249e290bd15be60d,Ghazi National Institute of Engineering & Sciences,ghazi-national-institute-of-engineering-sciences,,,,Punjab,Lahore,PRIVATE,NULL,NULL,,,,,FALSE,TRUE,07:31.5,07:31.5,TRUE
clx0895877cd7c818f7bea9,National University of Modern Languages,national-university-of-modern-languages,,,,Islamabad,Islamabad,PUBLIC,https://numl.edu.pk,https://portal.numl.edu.pk,,,,,FALSE,TRUE,06:51.0,06:51.0,TRUE
clx08b0c752417512f3912f,Shaheed Mohtarma Benazir Bhutto Medical University,shaheed-mohtarma-benazir-bhutto-medical-university,,,,Sindh,Larkana,PUBLIC,https://smbbmu.edu.pk,NULL,,,,,FALSE,TRUE,07:51.2,07:51.2,TRUE
clx08e71dbd70274692b0e6,"Aga Khan University, Karachi",aga-khan-university-karachi,,,,Sindh,Karachi,PRIVATE,https://aku.edu,https://admissions.aku.edu,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0908cb67604fb147f23b,"Shaheed Zulfiqar Ali Bhutto University of Law, Karachi",shaheed-zulfiqar-ali-bhutto-university-of-law-karachi,,,,Sindh,Karachi,PUBLIC,https://szabul.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx09135677384e77b2ab0b,Sir Syed University of Engineering and Technology,sir-syed-university-of-engineering-and-technology,,,,Sindh,Karachi,PRIVATE,https://ssuet.edu.pk,https://ssuet.edu.pk/admission,,,,,FALSE,TRUE,07:36.8,07:36.8,TRUE
clx091dc4ab740cfabb6aeb,"Begum Nusrat Bhutto Women University, Sukkur",begum-nusrat-bhutto-women-university-sukkur,,,,Sindh,Sukkur,PUBLIC,https://bnbwu.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0947d6bb98b73a49fc38,Cholistan University of Veterinary and Animal Sciences,cholistan-university-of-veterinary-and-animal-sciences,,,,Punjab,Lahore,PUBLIC,https://cuvas.edu.pk,NULL,,,,,FALSE,TRUE,07:23.0,07:23.0,TRUE
clx096b7804e210f628221f,"Muslim Youth University, Islamabad",muslim-youth-university-islamabad,,,,Islamabad,Islamabad,PRIVATE,https://myu.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx0998cd615ec0d5194084,"Quaid-e-Awam University of Engineering, Science, and Technology, QUEST Larkana Campus",quaid-e-awam-university-of-engineering-science-and-technology-quest-larkana-campus,,,,Sindh,Larkana,PUBLIC,https://quest.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
clx099f372804d2e9680943,"Pakistan Military Academy, Kakul, Abbottabad",pakistan-military-academy-kakul-abbottabad,,,,Khyber Pakhtunkhwa,Abbottabad,PUBLIC,https://pma.edu.pk,,,,,,FALSE,TRUE,39:56.9,39:56.9,TRUE
